Constituency,constituency,max_votes,winner_party,State
SATNA - 9,SATNA - 9,459728,Bharatiya Janata Party,Madhya Pradesh
SHAHDOL - 12,SHAHDOL - 12,711143,Bharatiya Janata Party,Madhya Pradesh
SHIMLA - 4,SHIMLA - 4,519748,Bharatiya Janata Party,Himachal Pradesh
SIDHI - 11,SIDHI - 11,583559,Bharatiya Janata Party,Madhya Pradesh
SIKAR - 5,SIKAR - 5,659300,Communist Party of India (Marxist),Rajasthan
SIRSA - 3,SIRSA - 3,733823,Indian National Congress,Haryana
SIVAGANGA - 31,SIVAGANGA - 31,427677,Indian National Congress,Tamil Nadu
SONIPAT - 6,SONIPAT - 6,548682,Indian National Congress,Haryana
SRINAGAR - 2,SRINAGAR - 2,356866,Jammu & Kashmir National Conference,Jammu and Kashmir
SRIPERUMBUDUR - 5,SRIPERUMBUDUR - 5,758611,Dravida Munnetra Kazhagam,Tamil Nadu
SURGUJA - 1,SURGUJA - 1,713200,Bharatiya Janata Party,Chhattisgarh
Sabarkantha - 5,Sabarkantha - 5,677318,Bharatiya Janata Party,Gujarat
Saharanpur - 1,Saharanpur - 1,547967,Indian National Congress,Uttar Pradesh
Salempur - 71,Salempur - 71,405472,Samajwadi Party,Uttar Pradesh
Samastipur - 23,Samastipur - 23,579786,Lok Janshakti Party(Ram Vilas),Bihar
Sambalpur - 3,Sambalpur - 3,592162,Bharatiya Janata Party,Odisha
Sambhal - 8,Sambhal - 8,571161,Samajwadi Party,Uttar Pradesh
Sangli - 44,Sangli - 44,571666,Independent,Maharashtra
Sangrur - 12,Sangrur - 12,364085,Aam Aadmi Party,Punjab
Sant Kabir Nagar - 62,Sant Kabir Nagar - 62,498695,Samajwadi Party,Uttar Pradesh
Saran - 20,Saran - 20,471752,Bharatiya Janata Party,Bihar
Sasaram - 34,Sasaram - 34,513004,Indian National Congress,Bihar
Satara - 45,Satara - 45,571134,Bharatiya Janata Party,Maharashtra
Secunderabad - 8,Secunderabad - 8,473012,Bharatiya Janata Party,Telangana
Shahjahanpur - 27,Shahjahanpur - 27,592718,Bharatiya Janata Party,Uttar Pradesh
Sheohar - 4,Sheohar - 4,476612,Janata Dal (United),Bihar
Shillong - 1,Shillong - 1,571078,Voice of the People Party,Meghalaya
Shimoga - 14,Shimoga - 14,778721,Bharatiya Janata Party,Karnataka
Shirdi - 38,Shirdi - 38,476900,Shiv Sena (Uddhav Balasaheb Thackrey),Maharashtra
Shirur - 36,Shirur - 36,698692,Nationalist Congress Party  Sharadchandra Pawar,Maharashtra
Shrawasti - 58,Shrawasti - 58,511055,Samajwadi Party,Uttar Pradesh
Sikkim - 1,Sikkim - 1,164396,Sikkim Krantikari Morcha,Sikkim
Silchar - 8,Silchar - 8,652405,Bharatiya Janata Party,Assam
Singhbhum - 10,Singhbhum - 10,520164,Jharkhand Mukti Morcha,Jharkhand
Sitamarhi - 5,Sitamarhi - 5,515719,Janata Dal (United),Bihar
